Pipeline,Dimension,Pearson_r,Pearson_p,N
base,OCRS,0.099940,0.120240,243
base,PCRS,0.661631,0.000000,243
base,ACRS,0.525462,0.000000,243
base,LCRS,0.705505,0.000000,243
SA,OCRS,-0.095442,0.137937,243
SA,PCRS,0.636950,0.000000,243
SA,ACRS,0.401789,0.000000,243
SA,LCRS,0.517524,0.000000,243
MAS,OCRS,-0.068901,0.284710,243
MAS,PCRS,0.632393,0.000000,243
MAS,ACRS,0.490615,0.000000,243
MAS,LCRS,0.403220,0.000000,243
MAP,OCRS,-0.144384,0.024390,243
MAP,PCRS,0.613127,0.000000,243
MAP,ACRS,0.424859,0.000000,243
MAP,LCRS,0.509921,0.000000,243
