Pipeline,Prompt_Type,Metric,Mean,CI,Lower,Upper
base,mono,CRS,0.247717,0.006415,0.241303,0.254132
base,mono,OCRS,0.234904,0.003420,0.231484,0.238324
base,mono,PCRS,0.248310,0.004768,0.243542,0.253077
base,mono,ACRS,0.277661,0.007970,0.269692,0.285631
base,mono,LCRS,0.229994,0.009501,0.220493,0.239494
base,cross,CRS,0.233668,0.005109,0.228559,0.238777
base,cross,OCRS,0.237482,0.003462,0.234019,0.240944
base,cross,PCRS,0.232561,0.004203,0.228358,0.236764
base,cross,ACRS,0.264081,0.005287,0.258794,0.269368
base,cross,LCRS,0.200550,0.007484,0.193066,0.208034
SA,mono,CRS,0.253987,0.005644,0.248343,0.259631
SA,mono,OCRS,0.237111,0.004368,0.232743,0.241479
SA,mono,PCRS,0.259254,0.004903,0.254351,0.264158
SA,mono,ACRS,0.286739,0.007039,0.279700,0.293778
SA,mono,LCRS,0.232845,0.006266,0.226578,0.239111
SA,cross,CRS,0.239572,0.004841,0.234732,0.244413
SA,cross,OCRS,0.248350,0.003778,0.244571,0.252128
SA,cross,PCRS,0.239049,0.004009,0.235040,0.243058
SA,cross,ACRS,0.252441,0.005318,0.247123,0.257759
SA,cross,LCRS,0.218449,0.006256,0.212193,0.224706
MAS,mono,CRS,0.256075,0.005985,0.250090,0.262060
MAS,mono,OCRS,0.241343,0.004162,0.237181,0.245505
MAS,mono,PCRS,0.259311,0.004684,0.254627,0.263995
MAS,mono,ACRS,0.276662,0.007892,0.268770,0.284554
MAS,mono,LCRS,0.246985,0.007201,0.239784,0.254186
MAS,cross,CRS,0.242631,0.004726,0.237905,0.247357
MAS,cross,OCRS,0.252302,0.003393,0.248909,0.255695
MAS,cross,PCRS,0.235953,0.003762,0.232191,0.239714
MAS,cross,ACRS,0.249272,0.006042,0.243230,0.255314
MAS,cross,LCRS,0.232996,0.005708,0.227289,0.238704
MAP,mono,CRS,0.257064,0.005382,0.251682,0.262446
MAP,mono,OCRS,0.240940,0.003927,0.237013,0.244866
MAP,mono,PCRS,0.260524,0.004572,0.255952,0.265097
MAP,mono,ACRS,0.281720,0.006689,0.275031,0.288409
MAP,mono,LCRS,0.245072,0.006339,0.238733,0.251412
MAP,cross,CRS,0.245831,0.004733,0.241098,0.250565
MAP,cross,OCRS,0.256830,0.003464,0.253366,0.260294
MAP,cross,PCRS,0.236600,0.003783,0.232818,0.240383
MAP,cross,ACRS,0.253755,0.005621,0.248134,0.259376
MAP,cross,LCRS,0.236140,0.006066,0.230074,0.242206
